Window size: 100
Server error Rate: 1000
expRTT,jitter,timeoutValue
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-31006541,-1.9393346098858096E7,1.4116448315937923E7,500000000
-13821024,-1.8696805836500835E7,1.180628169607865E7,28528320
-13821024,-1.8696805836500835E7,1.180628169607865E7,57056640
-26290327,-1.9645995981938228E7,1.0515794026574431E7,22417180
-25062508,-2.0323059984195948E7,9071707.523881836,15963770
-14000072,-1.9532686486171454E7,8186934.26445424,13215050
-12801471,-1.8691284550400022E7,7612654.085940686,11759331
-25613401,-1.955654910660002E7,7223703.53780551,9338265
-25613401,-1.955654910660002E7,7223703.53780551,18676530
-20695071,-1.9698864343275018E7,5666829.317535378,2968452
-20842559,-1.984182617536564E7,4500305.194310123,-1840605
-20474288,-1.992088390344494E7,3513579.9198713577,-5866564
-22804382,-2.028132116551432E7,3265950.148524938,-7217520
-16578612,-1.981848251982503E7,3259430.241349961,-6780761
-22962863,-2.02115300798469E7,3132405.9110507458,-7681906
-20142508,-2.020290231986604E7,2364403.013254569,-10745290
-19214341,-2.0079332154882785E7,1989550.048661623,-12121131
-7391686,-1.8493376385522436E7,4267585.132876826,-1423035
-16819934,-1.828419608733213E7,3566754.371490652,-4017178
-15226167,-1.7901942451415613E7,3344009.6414718926,-4525903
-15429052,-1.7592831144988663E7,3048952.0173510853,-5397023
-18028253,-1.764725887686508E7,2381962.5437970436,-8119408
-14007723,-1.7192316892256945E7,2582620.380912019,-6861835
-14442802,-1.6848627530724827E7,2538421.668365221,-6694940
-16271474,-1.6776483339384224E7,2030068.5861199717,-8656208
-6078974,-1.5439294671961196E7,3862631.6075802776,11231
-15707942,-1.5472875587966047E7,2955740.3086936963,-3649914
-13754246,-1.525804688947029E7,2592755.453887845,-4887025
-13754246,-1.525804688947029E7,2592755.453887845,-9774050
-13754246,-1.525804688947029E7,2592755.453887845,-19548100
-15560166,-1.5295811778286504E7,2010655.145844258,-7253191
-14959399,-1.525376018100069E7,1581581.654633366,-8927433
-6753898,-1.4191277408375604E7,3045531.0930689257,-2009153
-14736297,-1.4259404857328653E7,2403371.355469531,-4645919
-16948613,-1.4595555875162572E7,2390792.7978115054,-5032384
-7431045,-1.369999201576725E7,3360331.352300442,-258666
-6514314,-1.2801782263796344E7,4092115.5801744172,3566680
-18595210,-1.3525960730821801E7,4336399.002425363,3819635
-20077857,-1.4344947764469076E7,4685526.560701754,4397158
-19866894,-1.5035191043910442E7,4722070.659548705,3853091
-19578813,-1.5603143788421636E7,4535470.29755612,2538737
-12998372,-1.5277547314868933E7,3971396.551884323,608038
-20396976,-1.5917475900510317E7,4098422.438785663,476213
-14091337,-1.5689208537946528E7,3473284.713575879,-1796069
-14266192,-1.5511331470703213E7,2916248.4028577125,-3846337
-12763556,-1.516785953686531E7,2788262.186359612,-4014810
-19173611,-1.5668578469757147E7,2967454.772330422,-3798759
-18043611,-1.5965457536037505E7,2745129.4452384403,-4984939
-18252444,-1.6251330844032817E7,2559125.372920626,-6014829
-19296051,-1.6631920863528714E7,2585376.563808291,-6290414
-14341524,-1.6345621255587624E7,2440056.7367531247,-6585394
-18719617,-1.6642370723639172E7,2349354.1216550507,-7244954
-14536092,-1.6379085883184275E7,2222764.0620373567,-7488029
-14536092,-1.6379085883184275E7,2222764.0620373567,-14976058
-14536092,-1.6379085883184275E7,2222764.0620373567,-29952116
-14536092,-1.6379085883184275E7,2222764.0620373567,-59904232
-14536092,-1.6379085883184275E7,2222764.0620373567,-119808464
-14536092,-1.6379085883184275E7,2222764.0620373567,-239616928
-14536092,-1.6379085883184275E7,2222764.0620373567,-479233856
-14536092,-1.6379085883184275E7,2222764.0620373567,-958467712
-14536092,-1.6379085883184275E7,2222764.0620373567,-1916935424
-14536092,-1.6379085883184275E7,2222764.0620373567,-3833870848
-14536092,-1.6379085883184275E7,2222764.0620373567,-7667741696
-14536092,-1.6379085883184275E7,2222764.0620373567,-15335483392
-14536092,-1.6379085883184275E7,2222764.0620373567,-30670966784
-14536092,-1.6379085883184275E7,2222764.0620373567,-61341933568
-14536092,-1.6379085883184275E7,2222764.0620373567,-122683867136
-14536092,-1.6379085883184275E7,2222764.0620373567,-245367734272
-14536092,-1.6379085883184275E7,2222764.0620373567,-490735468544
-14536092,-1.6379085883184275E7,2222764.0620373567,-981470937088
-14536092,-1.6379085883184275E7,2222764.0620373567,-1962941874176
-14536092,-1.6379085883184275E7,2222764.0620373567,-3925883748352
-14536092,-1.6379085883184275E7,2222764.0620373567,-7851767496704
-14536092,-1.6379085883184275E7,2222764.0620373567,-15703534993408
-14536092,-1.6379085883184275E7,2222764.0620373567,-31407069986816
-14536092,-1.6379085883184275E7,2222764.0620373567,-62814139973632
-14536092,-1.6379085883184275E7,2222764.0620373567,-125628279947264
-14536092,-1.6379085883184275E7,2222764.0620373567,-251256559894528
-14536092,-1.6379085883184275E7,2222764.0620373567,-502513119789056
-14536092,-1.6379085883184275E7,2222764.0620373567,-1005026239578112
-14536092,-1.6379085883184275E7,2222764.0620373567,-2010052479156224
-14536092,-1.6379085883184275E7,2222764.0620373567,-4020104958312448
-14536092,-1.6379085883184275E7,2222764.0620373567,-8040209916624896
-14536092,-1.6379085883184275E7,2222764.0620373567,-16080419833249792
-14536092,-1.6379085883184275E7,2222764.0620373567,-32160839666499584
-12360631,-1.5876779022786241E7,2546110.052224578,-5692338
-12840366,-1.549722739493796E7,2573797.8879029234,-5202035
-17979305,-1.5807487095570715E7,2473302.892034514,-5914275
-11186398,-1.5229850958624376E7,2865840.4086819794,-3766489
-18567410,-1.5647045838796329E7,2879471.3468124024,-4129160
-17543923,-1.5884155483946787E7,2574545.389122605,-5585973
-19034610,-1.6277962298453439E7,2620070.967228594,-5797678
-11288454,-1.565427376114676E7,3056508.1657081353,-3428241
-11443854,-1.5127971291003415E7,3213410.4470319552,-2274329
-12498449,-1.4799281004627988E7,2985265.836430963,-2858217
-12034957,-1.445374050404949E7,2843645.2533355947,-3079159
-5333843,-1.3313753316043302E7,4127711.5190125215,3197092
-80216828,-2.1676637651537888E7,1.773083122637492E7,49246687
-80216828,-2.1676637651537888E7,1.773083122637492E7,98493374
-80216828,-2.1676637651537888E7,1.773083122637492E7,196986748
-80216828,-2.1676637651537888E7,1.773083122637492E7,393973496
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
-80216828,-2.1676637651537888E7,1.773083122637492E7,500000000
